FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005, P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029, P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065, P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018, P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030, P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066, P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003
PLST,AL,0,2,1,3917166,3751169,2595046,981723,24552,60508,2115,87225,165997,158371,18106,61748,10143,878,55472,4692,1130,262,3470,192,43,1265,480,324,166,6741,2714,325,75,721,477,78,1354,386,201,41,80,12,103,82,51,14,6,6,5,10,733,180,36,332,35,35,1,19,33,0,12,25,3,3,15,4,148,71,65,5,0,5,2,4,4,3917166,166856,3750310,3630366,2564544,976732,18137,59997,1872,9084,119944,114790,17569,60511,9920,843,17128,4530,1075,250,2024,155,28,120,447,165,25,4620,2452,295,69,344,446,78,212,361,76,18,73,12,55,76,31,11,6,4,0,1,442,136,28,145,35,21,0,19,21,0,3,15,0,2,13,4,92,46,37,5,0,2,2,0,0,2288330,2011947,276383
PLST,AK,0,2,1,554003,500671,349626,17297,76714,34638,8249,14147,53332,49597,2729,23941,4930,813,12761,962,291,111,664,732,213,416,868,128,38,3296,881,111,39,181,764,116,505,439,85,13,31,0,25,18,8,4,40,4,8,24,398,87,28,111,24,16,3,78,26,1,7,1,3,0,2,11,33,21,5,0,2,3,2,8,8,554003,33441,520562,477883,340580,16566,75017,34290,8122,3308,42679,39971,2464,23040,4749,757,5530,918,263,101,216,696,195,179,805,57,1,2451,766,104,32,72,707,112,118,409,26,2,21,0,12,13,0,3,35,0,4,15,228,74,15,21,18,5,0,67,11,1,2,1,2,0,0,11,23,17,0,0,2,2,2,6,6,326200,269148,57052
PLST,AZ,0,2,1,5541976,4875350,3549308,247633,226604,205298,11803,634704,666626,640037,28955,61635,34582,3956,481317,4825,2592,418,6974,881,320,7217,3502,2265,598,24122,4152,1326,186,2454,1147,210,9458,2294,1796,190,139,41,276,121,82,24,68,72,20,66,2127,412,72,943,86,105,9,144,195,32,93,20,3,2,3,8,293,114,145,10,6,17,1,47,47,5541976,1489617,4052359,3878116,3218094,236894,189473,199796,10590,23269,174243,164039,26191,51943,31870,3620,36456,4188,2366,367,2068,610,261,291,3153,565,90,9288,3316,1155,155,671,819,150,323,2041,205,24,117,26,71,97,36,8,48,3,2,21,778,278,44,162,75,50,2,106,9,5,24,16,2,2,3,0,129,64,53,8,3,0,1,9,9,3082000,2705878,376122
PLST,AR,0,2,1,2312273,2175566,1683440,333515,20162,40043,8394,90012,136707,131244,10798,57016,6083,699,50265,2271,446,103,1610,126,70,984,361,318,94,4964,1884,155,44,437,388,57,1345,242,169,31,28,5,91,43,13,1,8,9,0,14,406,109,14,181,2,14,0,22,26,10,7,6,7,0,8,0,83,46,35,1,0,0,1,10,10,2312273,162002,2150271,2053883,1653772,331235,15691,39675,8250,5260,96388,92892,10510,55485,5905,655,15974,2184,419,99,924,109,50,87,343,127,21,3206,1736,135,40,234,356,50,219,229,62,9,20,5,52,34,5,1,7,4,0,8,246,88,14,76,2,7,0,17,7,8,6,6,7,0,8,0,43,24,18,1,0,0,0,1,1,1365265,1199395,165870
PLST,CA,0,2,1,30827105,26832028,13443813,1757768,475594,4970407,120850,6063596,3995077,3766358,145313,290648,344148,28940,2663682,27745,27794,4355,55628,8656,1651,86402,40224,32800,8372,206118,27154,9925,1371,16443,11244,1815,88908,18650,18854,2146,1499,305,2288,1340,1179,272,577,896,184,1068,19695,3676,505,8031,783,1273,150,1331,2173,246,980,156,178,52,97,64,2570,880,1262,155,101,154,18,336,336,30827105,11083294,19743811,18667744,11672897,1694380,122657,4906293,109178,162339,1076067,998987,130923,217684,318965,25669,173507,23442,25734,3944,22639,5266,985,1417,36862,8681,3269,69113,20659,8465,1145,4772,7546,1274,1674,16400,2167,254,1127,238,786,1100,565,134,310,72,17,408,7030,2613,356,1424,627,459,46,880,140,23,192,105,79,22,50,14,833,455,288,40,32,18,0,104,104,14392140,13475623,916517
PLST,CO,0,2,1,4509576,4039219,3308162,175400,56575,158934,7488,332660,470357,446117,23734,66285,34139,2978,297557,3442,2237,329,4641,569,147,6463,1926,1276,394,22019,3999,1019,108,1804,1126,166,9991,1772,1150,140,160,41,222,100,67,8,56,36,4,50,1920,354,74,848,71,110,22,141,171,25,71,13,7,9,2,2,263,129,88,22,3,21,0,38,38,4509576,864196,3645380,3475182,3095664,168127,26942,155965,6646,21838,170198,161316,21864,54734,32365,2710,40103,2822,2100,276,1429,340,94,239,1749,427,64,8097,3078,913,81,507,817,119,365,1603,190,26,128,26,54,83,41,7,28,8,0,23,658,214,49,120,56,27,18,111,17,7,27,5,3,2,2,0,109,80,14,12,2,1,0,18,18,2491404,2257815,233589
PLST,CT,0,2,1,2869227,2648584,1989916,294102,11940,134023,1207,217396,220643,209187,17508,19313,11360,532,136238,3711,1154,362,13760,245,64,2308,513,1242,877,9590,2822,485,44,2721,232,19,1682,256,430,71,108,14,452,23,103,38,8,25,21,36,1743,177,38,1332,29,75,8,21,30,3,14,7,4,0,5,0,99,48,39,4,2,5,1,24,24,2869227,430695,2438532,2350906,1913793,279080,4967,132859,757,19450,87626,83004,15275,18000,11010,502,27605,3215,1064,323,4367,214,37,124,474,676,118,4184,2024,414,40,690,192,19,105,237,132,9,90,8,83,20,78,14,7,11,0,11,378,122,22,153,22,29,7,8,0,3,5,5,0,0,2,0,49,32,13,1,2,0,1,11,11,1530197,1418069,112128
PLST,DE,0,2,1,783543,735632,500550,164887,3880,33396,312,32607,47911,45097,6221,7272,2904,191,22490,1988,515,102,2504,62,6,443,114,198,87,2444,1065,188,6,377,94,17,361,86,68,9,52,17,67,17,6,0,0,3,0,11,332,63,7,184,6,16,15,4,7,0,13,4,4,0,8,1,33,7,14,0,12,0,0,5,5,783543,67906,715637,689358,489226,161576,2090,33202,240,3024,26279,24560,5826,6926,2839,180,5012,1884,500,96,973,57,0,38,113,107,9,1572,941,158,6,119,83,17,40,83,20,4,46,17,14,8,6,0,0,0,0,10,124,55,7,31,6,9,4,3,0,0,0,0,0,0,8,1,18,7,4,0,7,0,0,5,5,448735,386375,62360
PLST,DC,0,2,1,575161,532702,244170,226137,2554,31093,369,28379,42459,38841,5267,1835,5490,204,18961,1821,943,91,3097,61,16,599,164,227,65,3122,1044,245,18,594,51,2,659,104,148,13,47,29,89,21,28,15,1,0,0,14,459,88,7,286,10,31,0,0,13,3,15,5,1,0,0,0,37,16,17,0,0,4,0,0,0,575161,60375,514786,493346,234767,223540,1063,30795,305,2876,21440,19540,4997,1462,5362,170,2979,1730,909,87,1457,53,14,33,149,135,3,1722,870,211,15,259,45,0,25,94,46,4,40,24,36,21,25,3,1,0,0,3,164,70,5,51,10,22,0,0,0,0,2,4,0,0,0,0,14,9,1,0,0,4,0,0,0,350364,312448,37916
PLST,FL,0,2,1,17339232,14638985,10438522,2419026,73588,520293,10734,1176822,2700247,2624092,97183,152457,69106,4737,2144848,14315,14199,3205,95521,1348,301,11759,3634,8206,3273,64349,12033,4592,370,19091,2179,314,13069,2189,5289,535,385,80,2025,530,1028,233,84,137,24,162,10811,1076,167,7439,172,967,71,171,309,43,154,43,75,13,88,23,889,264,472,73,32,15,33,106,106,17339232,4332685,13006547,12472158,9476700,2344909,34541,510811,9027,96170,534389,508596,84791,141291,65246,4343,150961,12376,13409,3021,22426,1092,181,651,3285,4719,804,23119,8067,3999,310,2786,1826,269,704,2009,1010,101,312,59,273,418,669,134,58,30,2,83,2280,782,110,517,140,339,29,125,34,7,42,32,34,12,64,13,361,174,129,16,13,5,24,33,33,9865350,8529067,1336283
