state,population,year,prediction
RI,1048319,01/01/2000,False
WA,5894121,01/01/2000,False
CT,3405565,01/01/2000,False
ID,1293953,01/01/2000,False
AZ,5130632,01/01/2000,False
NV,1998257,01/01/2000,False
PA,12281054,01/01/2000,False
ND,642200,01/01/2000,False
LA,4468976,01/01/2000,False
MN,4919479,01/01/2000,False
OK,3450654,01/01/2000,False
MA,6349097,01/01/2000,False
NC,8049313,01/01/2000,False
TN,5689283,01/01/2000,False
ME,1274923,01/01/2000,False
CA,33871648,01/01/2000,False
DE,783600,01/01/2000,False
SC,4012012,01/01/2000,False
AR,2673400,01/01/2000,False
TX,20851820,01/01/2000,False
OR,3421399,01/01/2000,False
NH,1235786,01/01/2000,False
SD,754844,01/01/2000,False
KS,2688418,01/01/2000,False
UT,2233169,01/01/2000,False
IA,2926324,01/01/2000,False
NJ,8414350,01/01/2000,False
CO,4301261,01/01/2000,False
MO,5595211,01/01/2000,False
VT,608827,01/01/2000,False
AK,626932,01/01/2000,False
OH,11353140,01/01/2000,False
MD,5296486,01/01/2000,False
HI,1211537,01/01/2000,False
MT,902195,01/01/2000,False
WY,493782,01/01/2000,False
IN,6080485,01/01/2000,False
GA,8186453,01/01/2000,False
KY,4041769,01/01/2000,False
FL,15982378,01/01/2000,False
NY,18976457,01/01/2000,False
NM,1819046,01/01/2000,False
AL,4447100,01/01/2000,False
VA,7078515,01/01/2000,False
NE,1711263,01/01/2000,False
WI,5363675,01/01/2000,False
MO,5988927,01/01/2010,False
LA,4533372,01/01/2010,False
DE,897934,01/01/2010,False
IN,6483802,01/01/2010,False
SD,814180,01/01/2010,False
PA,12702379,01/01/2010,False
AL,4779736,01/01/2010,False
NM,2059179,01/01/2010,False
AK,710231,01/01/2010,False
MD,5773552,01/01/2010,False
NV,2700551,01/01/2010,False
OH,11536504,01/01/2010,False
SC,4625364,01/01/2010,False
NE,1826341,01/01/2010,False
GA,9687653,01/01/2010,False
NC,9535483,01/01/2010,False
CA,37253956,01/01/2010,False
CT,3574097,01/01/2010,False
HI,1360301,01/01/2010,False
ND,672591,01/01/2010,False
WY,563626,01/01/2010,False
TN,6346105,01/01/2010,False
NY,19378102,01/01/2010,False
OK,3751351,01/01/2010,False
TX,25145561,01/01/2010,False
RI,1052567,01/01/2010,False
WI,5686986,01/01/2010,False
KS,2853118,01/01/2010,False
OR,3831074,01/01/2010,False
AR,2915918,01/01/2010,False
MT,989415,01/01/2010,False
NJ,8791894,01/01/2010,False
FL,18801310,01/01/2010,False
KY,4339367,01/01/2010,False
