state,population,year
WV,1808344,01/01/2000
AR,2673400,01/01/2000
RI,1048319,01/01/2000
WY,493782,01/01/2000
NC,8049313,01/01/2000
AK,626932,01/01/2000
IL,12419293,01/01/2000
ND,642200,01/01/2000
MI,9938444,01/01/2000
HI,1211537,01/01/2000
NV,1998257,01/01/2000
ME,1274923,01/01/2000
MO,5595211,01/01/2000
MS,2844658,01/01/2000
WI,5363675,01/01/2000
AZ,5130632,01/01/2000
LA,4468976,01/01/2000
NY,18976457,01/01/2000
MA,6349097,01/01/2000
CT,3405565,01/01/2000
KS,2688418,01/01/2000
KY,4041769,01/01/2000
NM,1819046,01/01/2000
WY,563626,01/01/2010
ME,1328361,01/01/2010
CT,3574097,01/01/2010
WI,5686986,01/01/2010
IL,12830632,01/01/2010
AZ,6392017,01/01/2010
MI,9883640,01/01/2010
MO,5988927,01/01/2010
ND,672591,01/01/2010
AR,2915918,01/01/2010
HI,1360301,01/01/2010
LA,4533372,01/01/2010
NM,2059179,01/01/2010
NC,9535483,01/01/2010
WV,1852994,01/01/2010
MS,2967297,01/01/2010
MA,6547629,01/01/2010
NV,2700551,01/01/2010
KS,2853118,01/01/2010
NY,19378102,01/01/2010
KY,4339367,01/01/2010
AK,710231,01/01/2010
RI,1052567,01/01/2010
AZ,7151502,01/01/2020
NM,2117522,01/01/2020
WY,576851,01/01/2020
NV,3104614,01/01/2020
AK,733391,01/01/2020
HI,1455271,01/01/2020
CT,3605944,01/01/2020
NY,20201249,01/01/2020
AR,3011524,01/01/2020
MI,10077331,01/01/2020
IL,12812508,01/01/2020
ME,1362359,01/01/2020
MO,6154913,01/01/2020
KS,2937880,01/01/2020
LA,4657757,01/01/2020
ND,779094,01/01/2020
NC,10439388,01/01/2020
KY,4505836,01/01/2020
MA,7029917,01/01/2020
WI,5893718,01/01/2020
MS,2961279,01/01/2020
RI,1097379,01/01/2020
WV,1793716,01/01/2020
