,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,Region
0,uPL,AK,0,2,1,436215,420279,318438,14498,60252,18418,1937,6736,15936,14984,511,8492,1549,273,1917,393,127,27,174,458,96,246,402,275,44,861,230,18,2,31,186,30,129,101,60,9,8,1,8,5,2,1,21,7,0,12,70,21,1,8,3,2,0,13,7,2,11,2,0,0,0,0,21,20,0,0,0,1,0,0,0,436215,15588,420627,406215,311655,14113,59553,18193,1869,832,14412,13569,462,8248,1487,259,1178,378,118,24,77,436,87,178,389,221,27,770,212,18,1,24,173,29,108,93,47,8,8,0,7,5,1,0,21,6,0,9,55,18,0,7,1,0,0,10,7,1,9,2,0,0,0,0,18,17,0,0,0,1,0,0,0,West
1,uPL,AL,0,2,1,3323678,3296426,2440176,796342,16144,23724,1063,18977,27252,25799,1385,13187,2654,228,3875,1672,657,182,741,171,14,282,257,444,50,1223,498,34,8,64,66,9,138,100,63,17,23,5,26,79,50,14,9,4,2,14,146,31,3,20,14,0,1,8,1,0,18,8,1,0,39,2,72,38,8,1,13,6,6,12,12,3323678,50955,3272723,3248249,2414670,792634,15614,23465,806,1060,24474,23200,1326,12963,2569,216,2329,1643,577,163,546,150,7,104,249,348,10,1087,487,30,7,50,63,8,114,92,45,9,20,4,18,66,41,12,6,2,2,11,118,29,1,18,12,0,0,5,1,0,15,7,1,0,27,2,57,30,7,0,13,5,2,12,12,South_East
2,uPL,AR,0,2,1,1993031,1971376,1639443,278007,12490,15177,1057,25202,21655,20610,909,12057,1554,211,3572,744,235,51,311,87,39,166,242,326,106,845,311,14,3,47,60,10,135,85,41,13,8,3,13,41,25,15,6,6,0,9,113,32,1,11,7,1,0,12,3,0,16,4,1,0,25,0,80,69,2,0,1,7,1,7,7,1993031,54850,1938181,1919522,1614701,276569,11810,14964,934,544,18659,17768,850,11746,1504,195,1556,730,211,43,195,74,35,80,238,244,67,731,283,13,3,39,54,9,106,81,31,10,7,3,12,37,16,13,3,4,0,7,94,26,1,8,7,1,0,12,2,0,14,3,0,0,20,0,63,54,1,0,1,6,1,3,3,South_East
3,uPL,AZ,0,2,1,3763685,3685038,2974910,107926,155283,71144,4602,371173,78647,74953,3642,14616,7424,1079,36537,1570,681,103,1933,495,119,2948,1224,2177,405,3372,1047,99,16,257,201,40,551,451,316,77,40,5,60,32,46,13,20,29,10,62,232,64,7,47,12,3,1,33,9,1,40,3,0,2,8,2,86,77,1,2,1,3,2,4,4,3763685,802474,2961211,2918766,2595584,103257,142940,69331,3957,3697,42445,39888,3076,12377,6764,962,9769,1417,630,98,831,336,95,1074,1130,1200,129,2327,827,75,14,138,148,32,246,417,198,25,32,4,41,27,35,6,12,11,4,35,170,58,5,23,9,1,1,26,6,1,26,3,0,2,7,2,60,55,1,2,0,2,0,0,0,South_West
4,uPL,CA,0,2,1,24621819,23685499,15406430,1572569,226960,2821631,79401,3578508,936320,888581,33923,121197,114986,14893,437415,17447,11637,1774,23360,9470,1113,18906,26477,49925,6058,42965,11680,1548,222,2751,3196,604,5114,6403,5747,952,805,122,820,396,631,149,406,499,72,848,3725,1568,125,580,154,155,22,407,184,43,305,57,53,10,45,17,965,756,120,12,30,28,19,84,84,24621819,6915731,17706088,17164055,12593932,1528106,129872,2793113,71930,47102,542033,507516,28386,97974,105783,13285,147287,16158,10924,1610,11372,7095,796,2553,25426,36124,2743,31084,9852,1267,194,1589,2309,454,2252,5756,3665,491,672,80,617,325,451,91,305,106,19,589,2735,1339,93,358,112,93,15,307,86,21,189,39,32,7,36,8,656,545,73,2,13,16,7,42,42,South_West
5,uPL,CO,0,2,1,3200466,3133488,2712698,114702,31098,71592,3292,200106,66978,63401,3437,16533,7664,921,25223,1581,783,137,1853,415,80,1933,968,1635,238,3233,1001,120,25,198,230,44,556,506,263,46,48,9,52,16,31,6,26,21,12,23,219,79,5,32,11,8,4,36,12,0,12,14,1,0,1,4,120,114,3,0,3,0,0,5,5,3200466,476879,2723587,2682662,2473860,111334,21053,70384,2807,3224,40925,38303,3017,13740,7196,829,7402,1428,754,121,990,295,63,368,901,1137,62,2372,850,106,21,137,173,27,222,458,173,28,47,7,31,14,27,1,22,6,8,14,145,65,5,16,10,3,3,25,7,0,7,1,0,0,1,2,101,96,3,0,2,0,0,4,4,South_West
6,uPL,CT,0,2,1,2563877,2519687,2147418,210363,6740,60941,971,93254,44190,41824,3673,5368,3299,354,16975,2437,555,489,5299,269,33,494,406,1869,304,2148,982,81,19,324,83,13,155,89,113,42,32,11,77,19,57,23,5,12,3,8,164,48,10,44,5,11,6,11,5,0,11,8,2,1,2,0,52,45,4,0,2,0,1,2,2,2563877,204664,2359213,2327479,2053286,202510,5192,60461,718,5312,31734,29959,2810,5056,3189,313,8869,2285,514,476,4050,228,14,99,402,1604,50,1621,787,63,16,205,74,12,88,84,76,13,29,11,59,17,54,16,4,6,0,7,114,36,6,28,3,8,1,11,2,0,10,5,2,0,2,0,38,35,1,0,1,0,1,2,2,North_East
7,uPL,DC,0,2,1,457067,446783,158946,257012,1361,13437,277,15750,10284,9294,1024,529,935,54,2728,1100,361,84,1879,42,4,98,92,327,37,908,540,36,3,98,17,1,34,27,39,3,25,3,33,9,22,13,0,2,1,2,73,38,2,14,4,3,1,3,1,0,3,0,2,0,2,0,8,7,1,0,0,0,0,1,1,457067,33525,423542,416117,145483,254687,1036,13318,226,1367,7425,6623,856,416,904,42,1054,1073,339,81,1449,32,2,25,89,249,12,746,495,30,3,48,15,1,15,23,27,1,23,2,29,5,17,9,0,0,1,2,50,26,2,9,2,3,0,1,0,0,3,0,2,0,2,0,6,5,1,0,0,0,0,0,0,South_East
8,uPL,DE,0,2,1,589013,582294,454158,103489,2064,12333,220,10030,6719,6262,772,1151,789,51,1505,610,183,51,681,46,3,117,57,219,27,411,215,13,1,54,10,2,32,14,12,5,7,3,26,8,5,0,0,1,2,1,32,10,0,11,0,3,0,0,0,0,3,2,0,0,3,0,12,12,0,0,0,0,0,2,2,589013,23712,565301,560004,443055,102225,1797,12249,186,492,5297,4936,692,1100,775,47,706,572,176,47,490,45,2,25,57,191,11,325,193,9,0,35,7,2,11,14,11,3,6,3,20,6,4,0,0,0,0,1,24,9,0,7,0,0,0,0,0,0,3,2,0,0,3,0,12,12,0,0,0,0,0,0,0,North_East
9,uPL,FL,0,2,1,12336038,12091092,9960984,1560928,39564,204194,6345,319077,244946,234752,12816,33383,20501,2163,94421,5036,5297,3624,44023,1122,154,2765,1769,6690,988,9150,2308,787,107,1465,402,71,776,588,925,223,147,30,193,245,519,159,38,75,29,63,749,272,14,124,44,62,25,48,15,4,40,22,7,1,67,4,283,227,22,0,18,8,8,12,12,12336038,1980176,10355862,10205367,8439743,1511373,31885,201038,5172,16156,150495,143347,8192,31187,19034,1762,24738,4696,5020,3410,36391,943,111,558,1709,5276,320,6363,1744,650,83,755,338,61,390,551,615,46,124,27,120,226,454,84,28,14,13,40,563,239,9,62,42,46,11,41,10,2,26,14,5,0,55,1,215,180,16,0,6,6,7,7,7,South_East
