,FILEID,STUSAB,CHARITER,CIFSN,LOGRECNO,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,Region
0,PLST,AK,0,2,1,522853,497328,368895,16904,70630,28312,4599,7988,25525,23913,1418,14709,3010,488,1179,712,219,60,197,717,150,237,515,238,64,1471,489,58,16,27,382,45,90,238,27,5,12,3,25,11,3,2,26,4,1,7,120,50,2,11,8,5,1,28,5,1,6,1,2,0,0,0,21,20,1,0,0,0,0,0,0,522853,24437,498416,475596,356987,16129,69383,27883,4496,718,22820,21511,1277,14156,2868,470,198,671,207,52,65,669,142,79,487,150,20,1215,420,49,14,15,341,43,34,211,15,2,11,3,13,10,1,2,24,1,1,5,77,37,1,6,5,1,0,21,2,0,1,1,2,0,0,0,17,17,0,0,0,0,0,0,0,306967,258058,48909,West
1,PLST,AL,0,2,1,3647277,3609004,2576913,906778,21036,40681,2125,61471,38273,35917,4567,16812,4693,521,3338,2452,922,246,786,192,51,276,271,545,245,2151,1152,88,23,110,181,19,95,162,56,23,57,13,29,61,32,10,9,12,8,11,151,55,15,21,7,3,1,25,0,1,5,6,2,0,10,0,51,46,3,0,1,0,1,3,3,3647277,118336,3528941,3496071,2530761,902278,19550,40229,1414,1839,32870,30983,4196,16297,4554,488,667,2366,853,216,398,162,28,61,255,418,24,1753,1047,76,21,53,160,13,43,149,36,7,47,10,20,35,19,5,7,1,0,4,107,48,12,11,4,1,1,17,0,1,5,3,2,0,2,0,25,23,2,0,0,0,0,2,2,2171853,1883791,288062,South_East
2,PLST,AR,0,2,1,2204443,2174718,1751828,315462,16155,27062,3420,60791,29725,28389,2880,15253,2923,376,3687,1108,330,105,407,132,48,288,273,426,153,1195,590,47,8,58,115,20,109,100,32,17,21,5,20,30,9,2,5,3,0,4,102,28,5,31,3,4,0,13,3,0,5,4,0,0,6,0,31,25,3,0,2,1,0,8,8,2204443,111094,2093349,2068663,1708907,313887,14876,26790,3171,1032,24686,23629,2733,14708,2825,347,572,1067,303,84,192,119,37,53,266,260,63,959,531,41,8,24,102,18,51,91,10,6,20,5,18,22,5,0,2,1,0,4,75,23,2,25,3,0,0,10,2,0,3,2,0,0,5,0,20,17,1,0,1,1,0,3,3,1316299,1147084,169215,South_East
3,PLST,AZ,0,2,1,4763003,4650961,3641563,182710,197974,136153,9221,483340,112042,105126,11955,21916,17935,2186,34064,3243,1589,277,2443,817,278,3265,1666,2762,730,6290,2271,349,67,321,497,86,606,1052,407,109,97,18,97,64,54,17,46,54,29,49,489,173,27,104,37,16,4,65,11,6,27,9,6,0,3,1,127,101,14,5,4,1,2,10,10,4763003,1191203,3571800,3511428,3017895,172249,175207,132317,8200,5560,60372,55994,10225,17026,15997,1909,2042,2858,1458,250,514,546,222,298,1532,1034,83,3992,1753,286,53,94,315,69,110,932,99,16,80,13,31,54,30,8,27,3,2,17,297,124,18,53,19,8,4,44,4,0,14,4,3,0,2,0,84,75,4,3,1,0,1,5,5,2844526,2380990,463536,South_West
4,PLST,CA,0,2,1,27958916,26926693,16786243,1716141,262022,3862414,105937,4193936,1032223,961581,75988,148593,228049,23392,303370,22022,19727,3347,22497,10320,1493,20317,29766,43054,9646,63815,19707,4194,696,3083,6325,1079,5231,10743,5382,1284,1144,217,826,643,672,224,456,632,233,1044,5784,2222,295,1034,360,214,49,785,239,67,239,106,74,19,48,33,951,758,96,31,19,36,11,92,92,27958916,9257499,18701417,18139662,12409858,1640279,125020,3809082,96399,59024,561755,517419,63060,106269,206373,20309,15725,19378,18078,2969,5459,7416,969,943,27778,20179,2514,40249,15418,3333,586,1007,4190,743,688,9207,1508,207,893,157,404,549,290,113,287,83,21,565,3540,1680,226,484,236,96,19,524,52,18,66,70,30,9,22,8,508,426,47,11,7,12,5,39,39,13680081,12577498,1102583,South_West
5,PLST,CO,0,2,1,3803587,3713299,3180748,145660,40624,105569,4694,236004,90288,84059,9750,23486,15557,1555,21574,2431,1434,216,1731,538,100,2556,1139,1529,463,5606,2130,336,54,232,456,97,750,773,268,67,107,17,69,54,26,12,52,43,20,43,480,189,33,91,39,18,2,45,18,5,9,15,4,4,2,6,135,123,5,1,3,2,1,8,8,3803587,664462,3139125,3085563,2810513,138811,23946,103339,4104,4850,53562,49608,8481,17311,14430,1379,1648,2067,1339,183,449,350,66,177,1040,633,55,3569,1671,290,43,77,325,71,89,666,81,11,98,15,18,48,18,3,25,3,1,16,303,143,29,36,33,12,2,27,0,1,3,12,2,1,2,0,79,76,1,0,2,0,0,3,3,2212898,1972868,240030,South_West
6,PLST,CT,0,2,1,2757082,2708125,2199381,261438,7940,101416,1050,136900,48957,45140,9139,6706,6060,572,11108,3041,965,617,2903,310,48,732,329,1869,741,3566,1937,181,32,371,132,15,179,134,140,67,61,11,88,25,46,61,8,23,38,17,195,67,13,58,11,6,5,12,4,1,6,5,5,1,1,0,50,38,7,1,2,1,1,6,6,2757082,318947,2438135,2407335,2046548,246016,5044,100486,729,8512,30800,28408,6686,5878,5735,514,2153,2737,886,579,1049,265,13,76,295,1407,135,2246,1393,142,28,109,115,8,35,110,87,15,52,9,35,21,27,34,4,8,3,11,111,45,12,21,8,2,3,11,1,0,3,3,2,0,0,0,30,26,2,0,2,0,0,5,5,1487891,1371087,116804,North_East
7,PLST,DC,0,2,1,500908,488050,210292,238223,1724,19426,264,18121,12858,11294,2273,807,2648,107,1603,1456,629,194,769,56,9,104,127,274,238,1416,913,108,17,53,34,1,55,50,45,12,48,6,21,15,24,6,1,2,1,4,109,60,2,27,4,4,0,2,2,1,1,3,1,0,2,0,38,34,3,0,0,0,1,1,1,500908,42708,458200,448760,191933,235249,1143,19221,195,1019,9440,8235,1960,597,2543,95,166,1381,586,187,342,43,4,13,119,195,4,1100,773,92,13,23,26,0,6,46,29,0,42,4,11,8,21,1,1,0,1,3,74,48,2,9,4,3,0,1,1,1,1,2,1,0,1,0,31,30,1,0,0,0,0,0,0,296719,266707,30012,South_East
8,PLST,DE,0,2,1,692169,681055,498535,137742,3085,21812,281,19600,11114,10213,2302,1760,1587,129,1396,1207,370,111,547,88,11,143,92,385,85,845,549,55,10,42,17,8,19,31,17,8,27,4,21,10,9,4,2,3,6,3,52,18,4,15,3,2,0,1,1,0,1,1,0,1,4,1,4,3,0,0,1,0,0,0,0,692169,46136,646033,637541,477636,134984,2248,21667,177,829,8492,7777,2040,1619,1532,118,180,1138,348,104,172,79,4,26,88,321,8,682,483,46,10,19,17,7,4,28,12,2,27,4,5,8,6,1,0,0,2,1,30,12,4,4,2,0,0,1,1,0,1,1,0,0,3,1,3,2,0,0,1,0,0,0,0,405885,342297,63588,North_East
9,PLST,FL,0,2,1,14799219,14523665,11493069,2136430,53788,355858,9299,475221,275554,257470,39723,42664,37716,3162,72803,8754,10526,7471,16149,1503,282,3092,2322,8499,2804,16562,5926,2138,203,1683,817,141,717,961,946,537,278,101,256,302,685,487,73,136,63,112,1188,421,46,239,94,101,27,93,27,9,42,27,16,5,37,4,292,218,38,7,2,22,5,42,42,14799219,3119182,11680037,11516977,9058437,2033903,37078,349321,7536,30702,163060,151881,26898,37812,34196,2713,7776,7761,9893,7179,6711,1226,162,289,2196,6229,840,10265,3880,1702,162,526,636,102,167,839,364,76,233,90,98,270,553,359,55,57,18,78,715,304,29,77,70,51,15,72,13,7,18,15,8,3,32,1,182,137,17,5,1,18,4,17,17,8989580,7420802,1568778,South_East
