STUSAB,Region
AK,West
AL,South_East
AR,South_East
AZ,South_West
CA,South_West
CO,South_West
CT,North_East
DC,South_East
DE,North_East
FL,South_East
GA,South_East
HI,West
IA,Mid_West
ID,West
IL,Mid_West
IN,Mid_West
KS,Mid_West
KY,South_East
LA,South_East
MA,North_East
MD,South_East
ME,North_East
MI,Mid_West
MN,Mid_West
MO,Mid_West
MS,South_East
MT,West
NC,South_East
ND,Mid_West
NE,Mid_West
NH,North_East
NJ,North_East
NM,South_West
NV,South_West
NY,North_East
OH,Mid_West
OK,South_West
OR,West
PA,North_East
PR,South_East
RI,North_East
SC,South_East
SD,Mid_West
TN,South_East
TX,South_West
UT,South_West
VA,South_East
VT,North_East
WA,West
WI,Mid_West
WV,South_East
WY,West
